,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
47000,1,2,1,0.788,0.902,0.662,0.575,0.614,0.0485,21.496,28.1355,0.91679,0.84565,0.81758,0.29528,0.36587,0.39561,0.6061300000000001,0.3522533333333333,0.8600066666666667,0.05830424699815921,1715.53,2212967.29,4750991.7,-3.1550905375960037,187.258,90.3261
47001,10,2,1,0.788,0.902,0.596,0.514,0.614,0.027999999999999997,24.634,25.7763,0.91632,0.84715,0.82107,0.28534,0.31686,0.36614,0.5921466666666666,0.32278,0.8615133333333332,0.06307434524060226,1740.12,4053326.32,8522796.61,-4.924447566344452,95.257,161.757
47002,100,2,1,0.788,0.902,0.66,0.586,0.614,0.056999999999999995,24.453,31.4947,0.91783,0.84976,0.82275,0.29049,0.35166,0.38237,0.6024766666666665,0.3415066666666666,0.8634466666666666,0.04535755670221989,1687.95,3060231.85,6036310.21,-4.928674270427021,262.51,116.815
47003,1000,2,1,0.788,0.902,0.645,0.564,0.621,0.07050000000000001,25.252,26.7096,0.91748,0.84123,0.81185,0.29081,0.34756,0.38779,0.5994533333333334,0.3420533333333333,0.8568533333333334,0.05733136354247108,1742.42,2305111.6,5281548.23,-6.705506864484506,179.632,123.289
47004,101,2,1,0.788,0.902,0.644,0.558,0.614,0.0,23.569,26.4942,0.91443,0.83806,0.81003,0.2887,0.34707,0.38895,0.5978733333333334,0.34157333333333334,0.8541733333333333,0.045611748138617264,1692.46,2779189.66,6133353.96,-4.325721484609562,241.565,117.551
47005,102,2,1,0.788,0.902,0.644,0.568,0.616,0.0,16.364,20.011,0.91514,0.83965,0.80892,0.30448,0.37397,0.39755,0.6066183333333333,0.3586666666666667,0.8545699999999999,0.0643694780417718,1757.96,3176259.07,6328353.4,-5.632782359302202,255.5,111.294
47006,103,2,1,0.789,0.902,0.653,0.622,0.614,0.16799999999999998,33.388,31.7887,0.91667,0.85125,0.82979,0.29112,0.33989,0.36311,0.5986383333333334,0.33137333333333335,0.8659033333333334,0.04906735261320136,1654.73,2904875.78,5969612.63,-6.130342274981684,146.061,132.455
47007,104,2,1,0.788,0.902,0.662,0.589,0.614,0.063,21.329,28.6453,0.91944,0.85387,0.82845,0.29311,0.35209,0.39558,0.60709,0.34692666666666666,0.8672533333333333,0.05695896838369663,1699.63,2746560.15,5834479.2,-6.359980592778098,214.045,106.991
47008,105,2,1,0.788,0.902,0.686,0.651,0.616,0.066,30.9,29.6642,0.92085,0.85943,0.84022,0.26104,0.31535,0.32172,0.5864349999999999,0.29936999999999997,0.8734999999999999,0.03010135274962522,1570.83,1977426.9,3971841.48,-6.100976949262279,174.907,106.958
47009,106,2,1,0.788,0.902,0.684,0.642,0.614,0.028499999999999998,12.915,18.4481,0.92183,0.85723,0.8365,0.29088,0.34229,0.35686,0.6009316666666668,0.33000999999999997,0.8718533333333335,0.046363189560361215,1573.34,2240705.14,4290996.69,-7.304857313275247,112.315,103.363
