,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,1,A.C,0.05806887061917223,0.20516110197625276,261.631,1392268.45,2782076.47,-3.1913324274192743,146.722,56.2185,0.0
1,1,2,1,A.D,0.0585396233771462,0.20539647835523975,121.702,820698.84,1968915.23,-3.1188486477727335,52.157,34.1076,0.0
2,10,2,1,A.C,0.060807252186350524,0.19179362609317527,273.302,1967229.67,4398699.5,-2.985113792865332,103.407,86.4774,0.0
3,10,2,1,A.D,0.06534143829485402,0.194060719147427,163.723,2086096.66,4124097.11,-6.863781339823571,88.641,75.2791,0.0
4,100,2,1,A.C,0.04255906734033488,0.19203286700350075,195.807,1710815.33,3549398.51,-5.152052956618285,116.708,63.934,0.0
5,100,2,1,A.D,0.04815604606410489,0.19483135636538576,178.43,1349416.51,2486911.7,-4.705295584235757,196.625,52.8808,0.0
6,1000,2,1,A.C,0.05721066286205313,0.19963199809769322,138.594,1019590.63,2092601.74,-8.254047065991726,85.552,39.7297,0.0
7,1000,2,1,A.D,0.057452064222889024,0.19975269877811117,267.318,1285520.98,3188946.49,-5.156966662977286,135.795,83.5589,0.0
8,101,2,1,A.C,0.0493756469571963,0.19547449014526483,178.848,1348769.27,3295670.06,-4.756090409280375,88.221,70.1372,0.0
9,101,2,1,A.D,0.041847849320038225,0.19171059132668578,203.748,1430420.39,2837683.9,-3.8953525599387486,158.703,47.4134,0.0
10,102,2,1,A.C,0.07119556091492996,0.21493111379079832,252.164,1503671.2,3171727.19,-5.5407755503730955,202.229,45.8558,0.0
11,102,2,1,A.D,0.05754339516861364,0.20810503091764015,192.98,1672587.87,3156626.21,-5.724789168231308,84.527,65.4379,0.0
12,103,2,1,A.C,0.04695282089523971,0.18916307711428654,139.271,1323147.14,2750687.91,-6.744534910473613,48.803,62.945,0.0
13,103,2,1,A.D,0.05118188433116301,0.19127760883224817,196.076,1581728.64,3218924.72,-5.516149639489757,111.43,69.5095,0.0
14,104,2,1,A.C,0.058138004003558306,0.20253233533511247,119.73,1136191.41,2223923.73,-8.196220736994652,120.98,33.0093,0.0
15,104,2,1,A.D,0.05577993276383495,0.20135329971525082,255.368,1610368.74,3610555.46,-4.523740448561544,116.916,73.982,0.0
16,105,2,1,A.C,0.031300977757200595,0.16533548887860028,165.313,1044100.29,2251684.63,-5.733323653223096,132.332,60.5395,0.0
17,105,2,1,A.D,0.028901727742049844,0.1641358638710249,96.621,933326.61,1720156.86,-6.468630245301463,57.883,46.4186,0.0
18,106,2,1,A.C,0.05163967054104433,0.19082483527052216,129.839,1173482.09,2483102.46,-6.543762875928827,68.603,61.6392,0.0
19,106,2,1,A.D,0.04108670857967809,0.18554835428983904,119.885,1067223.05,1807894.23,-8.065951750621666,103.61,41.7239,0.0
20,107,2,1,A.C,0.06034843170200475,0.20489588251766905,214.378,1962778.36,3416456.73,-5.844498507042904,134.483,53.6473,0.0
21,107,2,1,A.D,0.05056046730605886,0.20000190031969609,165.301,1099751.33,2261339.08,-7.328351559249257,168.183,41.2024,0.0
22,108,2,1,A.C,0.05609427289455197,0.200007136447276,139.399,1165116.75,2207798.84,-7.660842572221173,167.925,34.6058,0.0
23,108,2,1,A.D,0.058136133645894005,0.201028066822947,270.081,1502766.14,3292882.26,-4.414659462837385,155.861,86.2619,0.0
24,109,2,1,A.C,0.015231751600299503,0.15316087580014975,112.297,433637.54,1100309.42,-4.539930893198431,78.766,23.5267,0.0
25,109,2,1,A.D,0.014504023453719128,0.15279701172685958,102.482,728953.46,1795556.14,-7.658403076231543,97.161,41.1089,0.0
26,11,2,1,A.C,0.06075536237331107,0.20436934785332223,177.458,1618707.82,3151348.46,-5.126639761518901,150.013,53.717,0.0
27,11,2,1,A.D,0.053276115457993,0.20062972439566318,184.329,1404393.16,3096710.49,-2.682218230011795,103.469,67.0166,0.0
28,110,2,1,A.C,0.07768745359499007,0.22435372679749502,258.282,1939886.56,3912523.23,-1.4948981860037653,186.236,82.4633,0.0
29,110,2,1,A.D,0.07318564939778298,0.22210282469889148,149.149,1209870.48,2651715.77,-8.060104409976622,147.21,58.8565,0.0
30,111,2,1,A.C,0.04365555406257044,0.17726611036461856,132.677,1678923.66,3246970.26,-9.90933834829312,78.065,69.0682,0.0
31,111,2,1,A.D,0.04796654036035761,0.17942160351351216,169.089,1324197.56,2948396.43,-7.871198992006307,177.32,66.3882,0.0
