,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
48000,1,1,1,0.882,0.93,0.0,0.173,0.0,0.173,12.889,18.1202,0.93778,0.86718,0.84561,0.09742,0.05915,0.23021,0.506225,0.12892666666666666,0.8835233333333333,0.049276285291671225,243.702,1804663.96,3013705.04,-7.190555457728569,155.264,52.0012
48001,10,1,1,0.882,0.93,0.0,0.155,0.0,0.155,12.815,18.3036,0.93301,0.86851,0.8477,0.09565,0.06166,0.2334,0.5066550000000001,0.13023666666666667,0.8830733333333334,0.06026321442332119,278.121,2891138.44,3998727.29,-4.012725983867238,209.786,77.1474
48002,100,1,1,0.882,0.93,0.0,0.169,0.0,0.169,11.83,16.9059,0.92336,0.85625,0.83367,0.09254,0.06164,0.21082,0.49638000000000004,0.12166666666666669,0.8710933333333334,0.045623630638874604,227.096,2017858.81,3538759.98,-3.7244539323970782,147.519,63.3998
48003,1000,1,1,0.882,0.93,0.0,0.132,0.0,0.132,11.629,18.3935,0.92893,0.87227,0.85527,0.096,0.06373,0.23151,0.5079516666666667,0.13041333333333335,0.88549,0.04792474470450543,288.594,2927114.31,4678635.09,-4.192642731630112,226.738,65.4553
48004,101,1,1,0.882,0.93,0.0,0.131,0.0,0.131,10.973,17.1623,0.92359,0.86135,0.83898,0.07709,0.04769,0.1922,0.49015,0.10566000000000002,0.87464,0.027117806188471153,132.464,2180499.72,3591606.03,-3.8784845722145103,130.057,69.449
48005,102,1,1,0.882,0.93,0.0,0.098,0.001,0.098,11.934,17.3286,0.93121,0.87476,0.85682,0.08252,0.04806,0.19609,0.49824333333333326,0.10888999999999999,0.8875966666666666,0.02826437323601567,149.548,1443227.43,2400567.41,-5.769687345998104,103.834,47.7932
48006,103,1,1,0.882,0.933,0.026,0.298,0.055,0.298,5.663,8.07181,0.92435,0.85879,0.83511,0.09332,0.06071,0.21006,0.49705666666666665,0.12136333333333334,0.8727499999999999,0.03596672106214101,221.653,1599229.06,2873188.57,-1.711034989728879,158.847,47.621
48007,104,1,1,0.882,0.93,0.0,0.098,0.002,0.098,12.043,17.3857,0.92831,0.87692,0.8596,0.08411,0.05263,0.21541,0.50283,0.11738333333333334,0.8882766666666666,0.03715885687979608,171.126,1620404.63,3120564.3,-5.5475580932082496,53.19,67.0203
48008,105,1,1,0.882,0.933,0.0,0.236,0.04,0.236,7.04,11.9259,0.91631,0.86664,0.84451,0.08595,0.05706,0.21361,0.49734666666666666,0.11887333333333332,0.87582,0.040443068246531766,355.561,1876786.79,3123395.22,-1.9018289983479004,171.75,63.5691
48009,106,1,1,0.885,0.933,0.09,0.34,0.072,0.34,6.188,10.8089,0.93406,0.87517,0.85614,0.09613,0.05945,0.24098,0.5103216666666666,0.13218666666666665,0.8884566666666666,0.06363889084313996,240.186,3154802.96,4570291.78,-4.253016319033789,165.432,65.0201
48010,107,1,1,0.882,0.93,0.0,0.172,0.0,0.172,11.669,16.5278,0.92733,0.86053,0.83812,0.09256,0.06238,0.21539,0.499385,0.12344333333333335,0.8753266666666667,0.049577791437332056,159.195,1750440.63,2909074.41,-4.461672905243186,100.501,47.9052
48011,108,1,1,0.882,0.93,0.0,0.138,0.001,0.138,11.553,17.7207,0.9231,0.85768,0.83511,0.0886,0.06328,0.21746,0.49753833333333336,0.12311333333333334,0.8719633333333334,0.051035915457759984,185.434,2052337.77,3077142.45,-6.999902184562818,150.253,50.4602
48012,109,1,1,0.882,0.93,0.0,0.151,0.0,0.151,11.702,18.0258,0.93151,0.8598,0.83795,0.08953,0.05425,0.23337,0.5010683333333333,0.12571666666666667,0.87642,0.05045223907036416,173.507,1753547.16,2966100.57,-4.421194892071151,94.26,51.4872
48013,11,1,1,0.884,0.932,0.02,0.368,0.054,0.368,5.229,9.29311,0.93153,0.87024,0.84811,0.1033,0.0585,0.22771,0.506565,0.12983666666666668,0.8832933333333334,0.05486249563400634,313.401,2171547.38,3890773.87,-3.954373429861095,129.019,58.1554
