,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
50000,1,1,1,0.979,0.964,0.826,0.788,0.773,0.788,0.686,0.48868,0.89775,0.77617,0.73384,0.22164,0.17931,0.39906,0.5346283333333334,0.26667,0.8025866666666667,0.17547273226082322,920.936,7027257.49,11589477.42,-3.142670257503246e-05,714.739,242.572
50001,10,1,1,0.897,0.96,0.798,0.817,0.699,0.817,2.051,1.03892,0.90084,0.77889,0.73747,0.25144,0.21021,0.4317,0.5517583333333334,0.29778333333333334,0.8057333333333333,0.2131480123847723,898.624,6051217.45,10143571.26,-0.0013728295342411666,487.589,208.855
50002,100,1,1,0.799,0.908,0.0,0.289,0.0,0.289,16.787,17.1127,0.89201,0.74941,0.708,0.10385,0.07462,0.27797,0.46764333333333336,0.15214666666666668,0.7831400000000001,0.10290972935035825,348.246,3236347.69,5145645.61,-6.810592105380373,211.34,97.2596
50003,1000,1,1,0.798,0.915,0.085,0.32,0.099,0.32,9.152,5.64517,0.8909,0.7619,0.73409,0.09085,0.0729,0.2382,0.4648066666666667,0.13398333333333332,0.7956300000000001,0.07490764283575117,253.216,2172139.47,3649179.21,-5.275505460725404,133.72,62.5019
50004,101,1,1,0.797,0.911,0.051,0.263,0.065,0.263,19.066,10.1366,0.88888,0.7683,0.73558,0.09617,0.06458,0.26615,0.4699433333333333,0.14229999999999998,0.7975866666666667,0.09946436029858888,333.975,2953947.55,5003216.49,-4.934034272579142,183.625,109.002
50005,102,1,1,0.794,0.909,0.0,0.156,0.012,0.156,19.35,14.6438,0.89657,0.76336,0.72862,0.09774,0.08505,0.24062,0.4686600000000001,0.14113666666666666,0.7961833333333335,0.10157936559990048,272.565,1795811.59,3430104.42,-7.074182062565172,161.215,65.6732
50006,103,1,1,0.797,0.908,0.0,0.117,0.002,0.117,17.59,16.6526,0.88522,0.75379,0.71969,0.07257,0.04805,0.20627,0.44759833333333326,0.10896333333333334,0.7862333333333332,0.06867418033070863,169.937,1475472.02,2823082.18,-6.776935772130222,105.969,49.195
50007,104,1,1,0.795,0.909,0.0,0.127,0.014,0.127,19.258,12.8394,0.89986,0.77863,0.74141,0.10968,0.08292,0.25669,0.4781983333333334,0.14976333333333333,0.8066333333333334,0.11157317748293281,363.444,2186355.15,3971241.93,-3.4100944357359566,211.265,107.412
50008,105,1,1,0.803,0.916,0.112,0.312,0.109,0.312,6.034,4.75737,0.88925,0.76036,0.73098,0.09926,0.0897,0.25376,0.47055166666666665,0.14757333333333333,0.79353,0.09093232355080545,279.268,2162929.48,3443738.45,-9.846485540846002,145.627,72.0124
50009,106,1,1,0.794,0.908,0.0,0.126,0.002,0.126,13.663,12.4527,0.89531,0.76477,0.72874,0.08873,0.06898,0.22686,0.46223166666666665,0.12819,0.7962733333333333,0.08586757215671241,291.651,1737785.62,3073283.43,-6.7310948758977425,191.176,54.0945
50010,107,1,1,0.794,0.908,0.0,0.1,0.0,0.1,19.178,20.0338,0.89418,0.75988,0.72418,0.07015,0.04561,0.20857,0.4504283333333333,0.10811,0.7927466666666666,0.07193427438032814,338.904,1812938.3,2737975.17,-3.3149131519384993,214.515,61.4042
50011,108,1,1,0.794,0.908,0.0,0.145,0.0,0.145,15.666,17.1242,0.89725,0.76727,0.73857,0.07661,0.05994,0.2175,0.4595233333333333,0.11801666666666667,0.8010299999999999,0.07477924323175103,181.284,939115.27,2056067.81,-4.535096804026031,178.379,45.7314
