,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
51000,1,1,1,0.766,0.835,0.0,0.147,0.0,0.147,3.809,11.7434,0.91026,0.85905,0.83327,0.07447,0.04743,0.18021,0.48411499999999996,0.10070333333333333,0.8675266666666666,0.06044583485927433,250.16,2136108.37,3946540.16,-4.580073385677625,161.029,98.5974
51001,10,1,1,0.766,0.835,0.0,0.306,0.0,0.306,3.05,27.8039,0.92211,0.87258,0.84615,0.12725,0.10481,0.2977,0.5284333333333333,0.17658666666666667,0.88028,0.10187339736439754,376.396,2380863.65,4571964.52,-1.3491655901781492,214.684,99.1559
51002,100,1,1,0.766,0.835,0.0,0.225,0.0,0.225,4.848,3.23898,0.91634,0.87769,0.85598,0.11933,0.08756,0.27475,0.5219416666666666,0.16054666666666667,0.8833366666666667,0.11245573246851563,392.999,2780421.82,4873740.3,-1.1597563042196035,258.479,123.432
51003,1000,1,1,0.766,0.835,0.0,0.222,0.0,0.222,2.991,27.7202,0.9227,0.87495,0.85196,0.12334,0.10762,0.30403,0.5307666666666667,0.17833000000000002,0.8832033333333333,0.09902989097754472,329.347,2094330.54,4128907.35,-0.006208285450020472,207.885,88.7451
51004,101,1,1,0.766,0.835,0.0,0.282,0.0,0.282,3.455,12.388,0.91962,0.88066,0.85747,0.09901,0.06288,0.26007,0.513285,0.14065333333333332,0.8859166666666667,0.10005806693807244,331.884,2534071.1,6244210.75,-0.020294440281415336,223.491,158.879
51005,102,1,1,0.766,0.835,0.0,0.115,0.0,0.115,3.397,15.9521,0.91819,0.87093,0.84655,0.08808,0.06263,0.21654,0.5004866666666667,0.12241666666666667,0.8785566666666668,0.07402214810717851,296.143,1746580.74,3549315.97,-6.072385475514797,94.144,86.9141
51006,103,1,1,0.766,0.835,0.0,0.145,0.0,0.145,2.235,25.3018,0.92344,0.8787,0.8557,0.09639,0.07022,0.26407,0.5147533333333334,0.14356000000000002,0.8859466666666668,0.08641246933257207,402.134,2132950.12,3788851.02,-3.481030072474248,230.135,82.4396
51007,104,1,1,0.766,0.835,0.0,0.157,0.0,0.157,3.418,17.4978,0.91934,0.87028,0.84192,0.13589,0.11193,0.2935,0.52881,0.18044000000000002,0.8771800000000001,0.12613929333165289,338.168,2380497.77,4876879.02,-2.0731299085172177,100.438,124.377
51008,105,1,1,0.766,0.835,0.0,0.024,0.0,0.024,2.1,28.4511,0.91906,0.8716,0.84631,0.10745,0.08738,0.23498,0.51113,0.14326999999999998,0.8789899999999999,0.08126867391401903,195.252,1751589.23,3462595.92,-6.914154585719084,169.348,91.5848
51009,106,1,1,0.766,0.835,0.0,0.184,0.0,0.184,3.312,12.8872,0.91953,0.87473,0.85291,0.10304,0.07492,0.26942,0.5157583333333333,0.14912666666666666,0.88239,0.10790084023028612,380.684,2323706.62,4722341.82,-4.60598806791068,208.455,114.752
