,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
52000,1,2,1,0.843,0.949,0.52,0.49,0.526,0.16799999999999998,8.043,9.43401,0.90009,0.81313,0.77832,0.40093,0.35472,0.46938,0.6194283333333334,0.40834333333333334,0.8305133333333333,0.10308319800533354,511.795,1768907.35,3741155.68,-2.59617459448085,166.185,78.6549
52001,10,2,1,0.871,0.954,0.638,0.609,0.576,0.278,3.979,11.741,0.90174,0.811,0.76966,0.4291,0.41165,0.50142,0.6374283333333334,0.44739,0.8274666666666667,0.1211193537339568,449.814,1289990.78,2891521.78,-2.0873560661331654,113.605,76.6707
52002,100,2,1,0.846,0.946,0.602,0.65,0.493,0.0715,7.373,9.87687,0.90572,0.81052,0.77821,0.40568,0.38541,0.50066,0.6310333333333333,0.4305833333333333,0.8314833333333334,0.11280117109417916,409.685,985380.54,2086623.83,-1.9545506411834772,91.045,50.4606
52003,1000,2,1,0.846,0.949,0.549,0.75,0.533,0.094,6.485,7.23101,0.91453,0.82496,0.7948,0.42564,0.411,0.51214,0.6471783333333333,0.44959333333333334,0.8447633333333333,0.13234948981553318,418.303,1110449.92,2128972.35,-1.8882637105940743,85.567,47.0569
52004,101,2,1,0.855,0.953,0.538,0.638,0.603,0.2975,5.529,6.78947,0.91079,0.83604,0.79771,0.45107,0.41162,0.51161,0.65314,0.4581,0.84818,0.16242462715599687,506.559,1282169.04,3527857.52,-2.3987562059846264,71.417,72.6012
52005,102,2,1,0.846,0.95,0.526,0.636,0.521,0.052000000000000005,8.128,8.66946,0.90398,0.81552,0.77809,0.41677,0.37301,0.49467,0.6303399999999999,0.42815000000000003,0.8325299999999999,0.12769714179448782,456.969,840473.46,2597911.91,-2.8546192462785114,55.081,66.1439
52006,103,2,1,0.844,0.946,0.543,0.651,0.489,0.0525,6.816,10.4621,0.90985,0.82207,0.78416,0.43346,0.39336,0.52281,0.644285,0.44987666666666665,0.8386933333333334,0.14593714154325424,469.117,928258.59,2342416.45,-2.6543592721231666,69.875,50.0473
52007,104,2,1,0.843,0.954,0.523,0.64,0.618,0.25,9.732,9.78999,0.90313,0.81825,0.77305,0.47317,0.42072,0.53702,0.6542233333333333,0.47696999999999995,0.8314766666666666,0.21117616519331933,502.854,2289095.85,4201896.72,-3.015140952969799,138.892,77.0854
52008,105,2,1,0.846,0.948,0.49,0.689,0.508,0.212,7.992,8.16241,0.90941,0.82393,0.78084,0.46857,0.43395,0.53779,0.6590816666666667,0.4801033333333333,0.83806,0.17252359371632336,455.429,1382051.5,2952060.72,-3.0083223963004175,43.186,73.4733
52009,106,2,1,0.846,0.95,0.629,0.75,0.564,0.319,8.501,9.92696,0.90644,0.81902,0.78579,0.41848,0.4008,0.50157,0.6386833333333333,0.4402833333333333,0.8370833333333333,0.1241566611919552,394.865,898256.54,1947523.53,-1.2860801552964083,50.606,42.0069
52010,107,2,1,0.857,0.952,0.759,0.73,0.608,0.219,6.68,7.17471,0.913,0.82686,0.79399,0.41002,0.4526,0.50924,0.6509516666666667,0.4572866666666667,0.8446166666666667,0.10267546577379108,383.793,760147.18,1443982.99,-2.525870018601388,95.606,38.3999
52011,108,2,1,0.851,0.951,0.699,0.757,0.601,0.226,7.435,7.87596,0.90931,0.82191,0.79082,0.41206,0.43606,0.52252,0.6487799999999999,0.45687999999999995,0.84068,0.1298467661254108,412.08,982163.29,1958261.22,-2.5412121218182917,66.66,46.2984
52012,109,2,1,0.846,0.947,0.595,0.811,0.499,0.17099999999999999,7.721,8.46524,0.90693,0.81899,0.78443,0.4456,0.45986,0.53529,0.6585166666666666,0.48025,0.8367833333333333,0.1380657676141709,427.129,524851.92,1343679.1,-0.6688484438045476,73.462,29.7061
52013,11,2,1,0.855,0.95,0.495,0.652,0.519,0.1625,7.766,8.63703,0.90744,0.82502,0.77885,0.47111,0.43805,0.53884,0.6598849999999999,0.48266666666666663,0.8371033333333333,0.1776875926181674,444.334,1308810.5,3044802.53,-4.770877524428277,43.649,80.0654
52014,110,2,1,0.853,0.95,0.481,0.583,0.517,0.1305,7.881,8.09174,0.90586,0.827,0.78806,0.43965,0.39576,0.4941,0.6417383333333334,0.44317,0.8403066666666668,0.1573442669585347,411.003,1527810.48,3148180.2,-3.130675297319148,44.325,63.9552
52015,111,2,1,0.848,0.949,0.549,0.775,0.523,0.28049999999999997,8.261,9.33686,0.90918,0.81938,0.77857,0.46738,0.47927,0.55713,0.668485,0.5012599999999999,0.8357100000000001,0.1970409695059061,458.742,846893.03,1995907.9,-2.345229714516207,101.199,46.7954
52016,112,2,1,0.862,0.952,0.586,0.625,0.577,0.322,4.276,10.6331,0.91422,0.84388,0.80544,0.48055,0.45057,0.53902,0.67228,0.4900466666666667,0.8545133333333333,0.2041012850124389,486.205,854475.56,2719353.49,-3.340503034413898,96.135,68.4444
52017,113,2,1,0.843,0.951,0.557,0.689,0.595,0.2085,9.131,11.5939,0.89894,0.81546,0.77632,0.43309,0.41506,0.52735,0.64437,0.45849999999999996,0.83024,0.1587006303947419,465.025,1096783.08,3469523.13,-2.3049809266986774,8.026,71.8508
52018,114,2,1,0.85,0.951,0.607,0.643,0.575,0.307,6.711,7.39797,0.91054,0.81743,0.78516,0.41275,0.38878,0.49747,0.635355,0.433,0.83771,0.1034894494805485,430.648,825680.03,1941947.93,-1.4598127553443208,66.985,43.8611
52019,115,2,1,0.846,0.949,0.515,0.636,0.531,0.17049999999999998,7.619,10.2158,0.90832,0.81733,0.78454,0.4041,0.35838,0.48453,0.6261999999999999,0.41567,0.8367299999999999,0.11585087282583117,446.276,1059523.86,2496806.73,-2.640842603045378,66.589,50.7411
52020,116,2,1,0.848,0.949,0.595,0.861,0.534,0.219,7.686,9.22011,0.90713,0.81931,0.78034,0.44973,0.46659,0.54185,0.660825,0.48605666666666664,0.8355933333333333,0.14020004961639643,420.715,524813.05,1259125.41,-0.7667737812189117,78.098,32.3916
52021,117,2,1,0.85,0.947,0.547,0.521,0.518,0.1745,7.65,8.42939,0.90582,0.81133,0.77684,0.39797,0.35688,0.47974,0.6214299999999999,0.41152999999999995,0.83133,0.1080850801197812,490.148,1105654.01,2895623.69,-3.228584126932552,138.383,65.9257
52022,118,2,1,0.844,0.947,0.495,0.727,0.487,0.0435,8.627,9.80285,0.90396,0.81997,0.77779,0.4347,0.39704,0.52392,0.6428966666666666,0.4518866666666666,0.8339066666666666,0.14635645374655723,482.001,1276468.61,2381178.5,-3.6002325882277533,73.781,62.0296
