,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,1,A.D,0.08355010179802774,0.24594671756568054,37.605,464846.47,959268.78,-0.9691935535531311,45.258,17.5578,0.125
1,1,2,1,A.C,0.12261629421263934,0.26547981377298635,164.469,1304060.88,2781886.89,-4.223155635408569,152.188,61.0971,0.0
2,10,2,1,A.D,0.1099440064281225,0.27866700321406124,62.189,462726.48,1031707.27,-0.6329213948829424,54.198,21.6779,0.125
3,10,2,1,A.C,0.1322947010397911,0.28984235051989554,59.671,827264.29,1859814.51,-3.541790737383389,84.545,54.9928,0.286
4,100,2,1,A.D,0.10841882508248091,0.2695010792079071,31.437,620627.16,1259331.03,-2.782844046380592,54.925,31.4184,0.0
5,100,2,1,A.C,0.1171835171058774,0.27388342521960535,46.624,364753.37,827292.8,-1.1262572359863623,37.999,19.0422,0.0
6,1000,2,1,A.C,0.13460263833403588,0.2920979858336846,33.898,493376.4,1114170.38,-2.6052558262559837,49.829,27.5555,0.0
7,1000,2,1,A.D,0.13009634129703046,0.2898448373151819,52.779,617073.52,1014801.97,-1.1712715949321648,36.576,19.5013,0.0
8,101,2,1,A.C,0.15313691277988256,0.3056184563899413,48.547,325977.57,637957.54,-0.005257240735470704,26.995,6.92968,0.154
9,101,2,1,A.D,0.17171234153211118,0.3149061707660556,140.739,956191.47,2889899.98,-4.792255171233782,67.284,65.6715,0.098
10,102,2,1,A.C,0.11472358712926506,0.2714367935646326,92.831,632161.91,2107119.77,-4.979918573169608,49.101,59.617,0.0
11,102,2,1,A.D,0.14067069645971061,0.28441034822985534,32.276,208311.54,490792.14,-0.7293199193874146,19.93,6.52689,0.0
12,103,2,1,A.D,0.14517730325460432,0.29752698496063545,67.73,621175.13,1629730.23,-4.338663107754081,72.771,31.7689,0.0
13,103,2,1,A.C,0.14669697983190416,0.2982868232492854,69.782,307083.47,712686.22,-0.9700554364922523,44.591,18.2785,0.0
14,104,2,1,A.C,0.19635737612843515,0.33666368806421754,150.263,1359102.04,2500222.25,-2.2708662767415175,115.446,50.8845,0.216
15,104,2,1,A.D,0.22599495425820348,0.35148247712910174,60.023,929993.81,1701674.46,-3.7594156291980796,130.337,26.2009,0.0
16,105,2,1,A.D,0.17647219970822334,0.32828776652077835,45.177,518826.95,934541.1,-0.7526035886067592,38.107,22.0569,0.0
17,105,2,1,A.C,0.16857498772442342,0.32433916052887835,75.038,863224.55,2017519.61,-5.264041203994076,40.823,51.4164,0.0
18,106,2,1,A.C,0.13438446391373873,0.28733389862353603,2.31,142525.45,251144.93,-0.003649003796627619,51.294,4.1242,0.0
19,106,2,1,A.D,0.11392885847017169,0.2771060959017525,57.914,755731.09,1696378.6,-2.568511306796189,48.878,37.8827,0.214
20,107,2,1,A.C,0.07239109668880701,0.26483888167773684,12.807,143149.98,176369.39,-0.5980658820492739,4.55,3.44342,0.0
21,107,2,1,A.D,0.13295983485877513,0.2951232507627209,45.471,616997.2,1267613.6,-4.453674155153502,90.662,34.9565,0.476
22,108,2,1,A.C,0.09431602861732244,0.2755980143086612,20.728,243099.87,365112.02,-0.2125619665355169,41.245,7.21346,0.0
23,108,2,1,A.D,0.16537750363349912,0.31112875181674954,67.563,739063.43,1593149.2,-4.869862277101067,78.01,39.085,0.364
24,109,2,1,A.D,0.13447815142571926,0.3073640757128596,48.545,356736.43,688050.02,-0.942707996573472,61.914,13.7625,0.0
25,109,2,1,A.C,0.14165338380262255,0.3109516919013113,46.953,168115.5,655629.08,-0.3949888910356231,28.531,15.9436,0.0
26,11,2,1,A.D,0.19604523852467537,0.339355952595671,43.234,431762.12,1012980.26,-4.653842822732296,36.63,28.6689,0.0
27,11,2,1,A.C,0.15932994671165943,0.320998306689163,59.271,877048.39,2031822.27,-4.887912226124258,44.57,51.3965,0.0
28,110,2,1,A.D,0.16986210644245148,0.30651605322122577,25.884,823314.31,1490725.75,-3.1601753372347705,49.516,38.5571,0.0
29,110,2,1,A.C,0.14482642747461794,0.29399821373730894,48.739,704496.18,1657454.45,-3.1011752574035256,124.273,25.3981,0.0
30,111,2,1,A.C,0.18919449374079705,0.3452272468703985,62.848,347546.04,962620.66,-3.6430936920699684,35.101,25.2898,0.0
31,111,2,1,A.D,0.20488744527101518,0.35307372263550757,64.299,499346.99,1033287.24,-1.0473657369624456,75.324,21.5056,0.0
32,112,2,1,A.D,0.1967689429409802,0.34340780480382344,49.152,161647.98,477380.23,-1.6646209542317987,30.871,10.648,0.167
33,112,2,1,A.C,0.2114336270838976,0.35074014687528215,105.996,692827.58,2241973.26,-5.016385114595997,66.238,57.7964,0.162
34,113,2,1,A.C,0.13552270820364354,0.2970113541018218,78.696,467843.6,1294229.18,-0.8775347834766911,71.929,29.9106,0.2
35,113,2,1,A.D,0.18187855258584024,0.3201892762929201,64.758,628939.48,2175293.95,-3.7324270699206634,17.877,41.9402,0.0
36,114,2,1,A.C,0.1140542390756309,0.27352711953781544,36.534,233781.25,562510.97,-0.0998357318574909,36.362,11.7571,0.0
37,114,2,1,A.D,0.0929246598854661,0.26296232994273305,62.499,591898.77,1379436.95,-2.819789778831151,47.606,32.104,0.174
38,115,2,1,A.C,0.12333145234733821,0.2695007261736691,62.173,401939.96,1038315.93,-0.6951128245497398,35.29,14.4821,0.0
39,115,2,1,A.D,0.10837029330432416,0.26202014665216206,53.228,657583.89,1458490.8,-4.586572381541017,50.002,36.259,0.0
40,116,2,1,A.C,0.13794070184230806,0.31199868425448735,45.123,337496.75,651692.75,-0.9860583718672696,55.028,16.7784,0.0
41,116,2,1,A.D,0.14245939739048483,0.3142580320285757,43.966,187316.29,607432.65,-0.5474891905705538,36.012,15.6133,0.0
42,117,2,1,A.D,0.08712677122093737,0.24932838561046866,60.362,334200.2,1216683.89,-2.187963909199547,47.916,30.5917,0.1
43,117,2,1,A.C,0.12904338901862503,0.2702866945093125,117.479,771453.82,1678939.8,-4.269204344665557,95.781,35.334,0.0
44,118,2,1,A.D,0.14022184088826178,0.2960542537774642,73.754,673348.62,1188193.83,-3.2329758425563675,67.713,30.2574,0.0
45,118,2,1,A.C,0.15249106660485268,0.3021888666357596,76.629,603119.99,1192984.67,-3.967489333899139,28.685,31.7722,0.0
46,119,2,1,A.C,0.16619979366660118,0.3183082301666339,73.491,355653.28,1020809.61,-3.1383082706117396,33.435,23.0223,0.0
47,119,2,1,A.D,0.16349188052117825,0.3169542735939225,51.511,394719.62,841925.37,-0.952379601654887,63.037,26.6334,0.0
48,12,2,1,A.C,0.0716576992534101,0.22625051629337173,67.153,558890.68,865898.81,-1.5051232648221897,48.49,16.1525,0.0
49,12,2,1,A.D,0.11058205282315611,0.24571269307824473,83.192,1641271.19,2944187.97,-5.205388049930665,119.858,57.2348,0.0
50,120,2,1,A.C,0.19717893302440642,0.3381894665122033,38.199,391128.05,899399.23,-4.17330779801767,63.029,22.5924,0.0
51,120,2,1,A.D,0.16562596000730992,0.322412980003655,82.075,600499.82,2005493.5,-4.775030337716098,47.801,45.7356,0.0
52,121,2,1,A.C,0.11191175989806654,0.26555754661569997,51.048,573404.15,1498666.58,-1.0767788641182834,62.123,36.6211,0.0
53,121,2,1,A.D,0.12570079173892737,0.27245206253613036,66.198,369574.0,727139.19,-0.26592273167636205,30.231,17.0,0.0
54,122,2,1,A.D,0.1847102692350745,0.34405180128420393,72.468,305458.37,1149851.82,-0.03789304922613457,133.444,22.1211,0.583
55,122,2,1,A.C,0.2632875591516495,0.3833404462424914,32.022,325864.49,871489.13,-2.182056447027853,40.673,22.1181,0.0
56,123,2,1,A.C,0.09532471811398864,0.25606069239032764,46.414,561297.89,1459973.58,-4.134016895947322,44.189,44.3596,0.0
57,123,2,1,A.D,0.11590646100230516,0.2663515638344859,50.444,293402.15,721637.89,-0.0046187671278891665,47.244,12.7573,0.0
58,124,2,1,A.D,0.18390298467129468,0.332608159002314,51.787,183831.76,467087.28,-0.06282378337208142,25.105,11.1154,0.182
59,124,2,1,A.C,0.20047645270824432,0.3408948930207888,145.833,847507.83,2661483.07,-4.739140210983101,79.244,77.779,0.095
60,125,2,1,A.C,0.1112503107637167,0.283056822048525,35.431,113877.3,446594.61,-0.0024356978424744367,29.671,15.2404,0.133
61,125,2,1,A.D,0.11014617457985879,0.2825047539565961,49.474,575968.64,1348309.02,-2.817496346065896,29.484,24.2068,0.074
62,126,2,1,A.C,0.12348621627315878,0.2867931081365794,47.487,756369.79,1810358.41,-4.57007382458621,48.848,38.4746,0.0
63,126,2,1,A.D,0.13766857702285054,0.29388428851142523,21.278,156148.55,426219.57,-0.024200276845952568,22.285,8.96826,0.0
64,127,2,1,A.C,0.09187714196741581,0.2688385709837079,22.497,109204.82,219704.5,-0.00017266784303709637,28.31,7.85998,0.167
65,127,2,1,A.D,0.09095753971487283,0.2683787698574364,67.035,367321.22,1152976.08,-0.14316787698083386,41.379,28.7727,0.16
66,128,2,1,A.D,0.17424557823687792,0.3312194557851056,44.237,218904.87,487636.82,-0.4353689059249777,36.323,10.3601,0.0
67,128,2,1,A.C,0.14814954814501108,0.3181714407391722,44.406,619316.74,1608055.77,-4.064315485175479,47.023,28.2474,0.0
68,129,2,1,A.D,0.1347653347067535,0.2892810006867101,26.783,469009.28,1181693.66,-3.697739049647524,50.021,21.4457,0.0
