,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
53000,1,2,3,0.986,0.984,0.911,0.919,0.874,0.8150000000000001,0.508,0.568499,0.92363,0.8607,0.82099,0.52222,0.49769,0.63881,0.7106733333333334,0.5529066666666668,0.86844,0.08320597200399787,2819.49,8172980.59,15569852.45,-2.7264149650411897,822.302,374.454
53001,10,2,3,0.925,0.951,0.745,0.713,0.609,0.16975,2.556,3.35947,0.91631,0.83496,0.80208,0.42157,0.46478,0.53224,0.66199,0.47286333333333336,0.8511166666666666,0.031186205485387357,1972.76,3344420.84,5377559.32,-0.7615187275774401,276.359,140.488
53002,100,2,3,0.875,0.93,0.584,0.632,0.441,0.06625,15.759,19.3027,0.91892,0.8322,0.80146,0.40984,0.47186,0.5217,0.65933,0.4678,0.85086,0.021378230562196666,1867.23,1317658.03,3060136.98,-2.347898247132335,126.839,63.5933
53003,1000,2,3,0.875,0.93,0.603,0.588,0.44,0.0295,17.809,22.4347,0.9279,0.83317,0.80316,0.42689,0.53243,0.55028,0.6789716666666666,0.5032,0.8547433333333333,0.01964391253352973,1734.94,1142450.1,1849932.22,-8.71621558488572,106.617,40.53
53004,101,2,3,0.875,0.93,0.553,0.616,0.443,0.15975,17.437,22.8222,0.9231,0.83843,0.80567,0.44117,0.48759,0.58933,0.6808816666666667,0.5060300000000001,0.8557333333333333,0.02270639298406187,2051.61,3448487.26,5962005.51,-3.491703356866129,197.324,115.405
53005,102,2,3,0.875,0.93,0.584,0.546,0.448,0.07325000000000001,16.307,20.7338,0.92353,0.83982,0.81046,0.42088,0.49213,0.54129,0.6713516666666667,0.4847666666666666,0.8579366666666667,0.03645046376928972,1865.83,1879194.95,3581494.72,-2.8781006146708856,167.688,68.3865
53006,103,2,3,0.875,0.93,0.572,0.591,0.44,0.03225,14.178,17.4515,0.92566,0.83609,0.80397,0.4472,0.52602,0.59958,0.6897533333333334,0.5242666666666667,0.8552400000000001,0.03481506275444882,1926.69,2274854.97,4096014.46,-0.5638623152790615,202.94,94.4145
53007,104,2,3,0.877,0.93,0.606,0.53,0.445,0.07024999999999999,19.297,26.305,0.92365,0.83303,0.80662,0.42237,0.52437,0.54682,0.6761433333333333,0.4978533333333333,0.8544333333333333,0.023223311376920436,1731.64,1154451.39,2053612.55,-2.0550649180255443,140.143,49.245
53008,105,2,3,0.875,0.93,0.568,0.605,0.442,0.02575,13.289,16.3603,0.91651,0.83358,0.80298,0.41346,0.45572,0.51964,0.6569816666666667,0.46293999999999996,0.8510233333333334,0.03146610693304561,1881.59,2147013.05,4372156.34,-4.058761328860706,87.828,85.5822
53009,106,2,3,0.875,0.93,0.582,0.574,0.44,0.005,15.48,20.7246,0.92461,0.83429,0.80278,0.42383,0.51579,0.56133,0.677105,0.5003166666666666,0.8538933333333333,0.03093771649020163,1857.99,2214987.26,4128738.4,-3.18873002188324,211.011,76.1724
53010,107,2,3,0.878,0.933,0.561,0.598,0.465,0.10525000000000001,14.255,18.2552,0.91663,0.83591,0.80328,0.40938,0.4385,0.53317,0.656145,0.46035000000000004,0.8519399999999999,0.03529374541978978,2006.94,3057031.89,5965939.41,-2.51009246757297,141.855,136.101
53011,108,2,3,0.877,0.93,0.579,0.548,0.445,0.0985,18.072,24.7361,0.92228,0.82961,0.7988,0.41778,0.48323,0.54963,0.6668883333333333,0.4835466666666666,0.8502299999999999,0.03370455459927865,1931.8,2367453.53,4037555.95,-4.537097863221415,229.832,108.019
53012,109,2,3,0.875,0.93,0.584,0.58,0.44,0.05299999999999999,18.237,24.0437,0.92274,0.83192,0.79895,0.42249,0.51336,0.56547,0.6758216666666667,0.50044,0.8512033333333333,0.01883547899188194,1833.91,2300783.47,4044426.74,-1.8789878564934361,216.172,88.1731
