,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,2,3,A.D,0.14171577282249925,0.347311219744583,685.544,4376399.74,8494581.84,-1.8103031354804604,479.899,236.672,0.872
1,1,2,3,A.E,0.10162695636972785,0.3272668115181973,205.364,1240652.51,1891564.71,-1.6362627079110665,158.724,37.2876,0.718
2,1,2,3,B.D,0.08418943146243692,0.31854804906455186,106.957,410368.72,762144.33,-1.3030384915847855,60.561,16.5353,0.87
3,1,2,3,C.D,,,329.686,2212863.11,4421561.57,-6.156055525188446,234.046,83.9586,0.899
4,1,2,3,B.E,0.005291727361327503,0.27909919701399716,,-0.0,-0.0,,-0.0,-0.0,
5,1,2,3,C.E,,,,-0.0,-0.0,,-0.0,-0.0,
6,10,2,3,A.D,0.07215748147573321,0.2725104074045333,392.585,3183743.49,5121674.51,-1.6171079719725951,266.911,134.782,0.623
7,10,2,3,A.E,0.04907365280594391,0.26096849306963865,10.21,72021.98,127143.55,-0.5285213062261143,56.386,2.23458,0.118
8,10,2,3,B.D,0.003393865412448349,0.23812859937289085,7.264,87877.78,128741.27,-0.1389269045336107,7.911,3.47099,0.0
9,10,2,3,C.D,,,,-0.0,-0.0,,2.087,-0.0,0.0
10,10,2,3,B.E,0.00011982224742396483,0.23649157779037866,,-0.0,-0.0,,-0.0,-0.0,
11,10,2,3,C.E,,,,-0.0,-0.0,,-0.0,-0.0,
12,100,2,3,A.D,0.05027602799782471,0.25903801399891235,300.659,1293238.64,3044272.34,-3.947196156630527,128.311,63.5933,0.0
13,100,2,3,A.E,0.03461856716814395,0.25120928358407196,4.324,6434.53,15864.64,-0.7486003376341422,29.45,-0.0,0.0
14,100,2,3,B.D,0.0005510307361596286,0.23417551536807982,,-0.0,-0.0,,-0.0,-0.0,0.0
15,100,2,3,C.D,,,,-0.0,-0.0,,-0.0,-0.0,0.0
16,100,2,3,B.E,6.729634665835719e-05,0.23393364817332918,,-0.0,-0.0,,-0.0,-0.0,
17,100,2,3,C.E,,,,-0.0,-0.0,,-0.0,-0.0,
