,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
54000,1,1,1,0.479,0.704,0.0,0.056,0.0,0.056,19.637,19.0847,0.81637,0.60987,0.54435,0.21187,0.15297,0.34779,0.44720333333333334,0.23754333333333333,0.6568633333333334,0.15111179575324057,151.885,2715790.15,4965470.81,-5.9651298827047405,10.262,122.378
54001,10,1,1,0.479,0.704,0.0,0.0,0.0,0.0,29.855,26.6461,0.79642,0.57727,0.52363,0.16186,0.10809,0.30165,0.41148666666666667,0.19053333333333333,0.63244,0.1077043641358614,99.398,2064289.77,3601774.63,-3.1465941063036658,95.735,69.3257
54002,100,1,1,0.479,0.704,0.0,0.044,0.001,0.044,17.619,17.9315,0.79217,0.57278,0.51769,0.15329,0.1005,0.28035,0.40279666666666664,0.1780466666666667,0.6275466666666666,0.10994910614099354,168.532,1943332.69,3707957.93,-3.379012919637949,101.826,96.4138
54003,1000,1,1,0.479,0.704,0.0,0.03,0.001,0.03,20.069,17.0945,0.79562,0.57177,0.51462,0.14417,0.09519,0.30597,0.4045566666666666,0.18177666666666667,0.6273366666666665,0.11156911691650749,175.32,1959490.68,3389411.62,-5.998528055521009,158.362,65.364
54004,101,1,1,0.479,0.704,0.0,0.035,0.0,0.035,31.068,28.6098,0.79888,0.56142,0.50265,0.14683,0.08806,0.27236,0.39503333333333335,0.16908333333333334,0.6209833333333333,0.09075065935030582,100.79,1332412.85,2598739.38,-3.296608214129217,44.87,62.87
54005,102,1,1,0.479,0.704,0.0,0.045,0.0,0.045,22.539,19.5182,0.79663,0.58207,0.5204,0.16629,0.09703,0.29207,0.4090816666666666,0.18513000000000002,0.6330333333333332,0.09373475136235357,121.847,1710891.82,3848438.52,-5.728862152560847,52.351,77.9012
54006,103,1,1,0.479,0.704,0.0,0.0,0.0,0.0,22.389,18.2994,0.79678,0.56931,0.51468,0.15077,0.09751,0.29171,0.40346000000000004,0.17999666666666667,0.6269233333333334,0.09352530427277088,74.707,1719837.84,3289639.65,-5.141045144440561,52.609,88.2085
54007,104,1,1,0.479,0.704,0.0,0.0,0.0,0.0,28.95,22.6164,0.79132,0.57002,0.51507,0.12736,0.06448,0.27129,0.3899233333333333,0.15437666666666663,0.62547,0.0900751088745892,90.364,1466897.73,2782781.61,-4.001040708727896,130.454,49.7116
54008,105,1,1,0.479,0.704,0.0,0.118,0.0,0.118,22.147,19.6564,0.81435,0.61336,0.54217,0.24675,0.17278,0.37586,0.4608783333333334,0.26513000000000003,0.6566266666666667,0.16895460877567528,163.454,2878333.59,5567478.85,-1.5202950813150917,30.685,134.656
54009,106,1,1,0.493,0.711,0.04,0.3,0.062,0.3,12.453,13.1125,0.80942,0.61818,0.54295,0.26582,0.21579,0.41269,0.47747500000000004,0.29810000000000003,0.65685,0.20300135836005212,144.824,2484260.66,4790322.24,-2.3187860865953924,79.944,105.641
54010,107,1,1,0.479,0.706,0.0,0.061,0.013,0.061,20.55,15.9388,0.81822,0.61312,0.54389,0.20188,0.15592,0.38464,0.45294500000000004,0.24748,0.65841,0.17158525604754687,129.556,2186429.44,4339478.62,-5.942209020166106,98.2,106.3
54011,108,1,1,0.479,0.704,0.0,0.0,0.0,0.0,21.997,18.8052,0.80503,0.59179,0.53751,0.16452,0.09231,0.29246,0.4139366666666667,0.18309666666666669,0.6447766666666667,0.10007194159552454,122.391,1749698.71,3045396.46,-7.063814431181664,87.239,59.8279
