,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,1,A.R,0.15111179575324057,0.19432756454328695,151.885,2715790.15,4965470.81,-5.9651298827047405,-5.552,122.378,0.0
1,10,1,1,A.R,0.1077043641358614,0.14911884873459735,99.398,2064289.77,3601774.63,-3.1465941063036658,96.571,69.3257,0.0
2,100,1,1,A.R,0.10994910614099354,0.1439978864038301,168.532,1943332.69,3707957.93,-3.379012919637949,104.127,96.4138,0.0
3,1000,1,1,A.R,0.11156911691650749,0.14667289179158707,175.32,1959490.68,3389411.62,-5.998528055521009,149.177,65.364,0.0
4,101,1,1,A.R,0.09075065935030582,0.12991699634181958,100.79,1332412.85,2598739.38,-3.296608214129217,50.334,62.87,0.0
5,102,1,1,A.R,0.09373475136235357,0.13943237568117678,121.847,1710891.82,3848438.52,-5.728862152560847,47.696,77.9012,0.0
6,103,1,1,A.R,0.09352530427277088,0.13676098546971877,74.707,1719837.84,3289639.65,-5.141045144440561,72.376,88.2085,0.0
7,104,1,1,A.R,0.0900751088745892,0.12222588777062791,90.364,1466897.73,2782781.61,-4.001040708727896,124.427,49.7116,0.0
8,105,1,1,A.R,0.16895460877567528,0.21704230438783767,163.454,2878333.59,5567478.85,-1.5202950813150917,14.241,134.656,0.0
9,106,1,1,A.R,0.20300135836005212,0.25055067918002605,144.824,2484260.66,4790322.24,-2.3187860865953924,89.973,105.641,0.04
10,107,1,1,A.R,0.17158525604754687,0.20953262802377343,129.556,2186429.44,4339478.62,-5.942209020166106,75.593,106.3,0.0
11,108,1,1,A.R,0.10007194159552454,0.14158430413109563,122.391,1749698.71,3045396.46,-7.063814431181664,106.637,59.8279,0.0
12,109,1,1,A.R,0.10692297648638485,0.1549181549098591,198.296,2405839.45,4637350.93,-4.715797636426233,120.251,117.004,0.0
13,11,1,1,A.R,0.09754865430295467,0.14789766048481068,197.848,2416956.09,4250155.47,-3.569449977011986,144.134,82.7426,0.0
14,110,1,1,A.R,0.17506914492696524,0.21199790579681593,121.12,2260870.52,4085403.6,-4.4942404403734,89.402,93.806,0.0
15,111,1,1,A.R,0.12339541460387407,0.1748043739686037,121.142,1928964.2,3600304.45,-2.1630112852726113,80.287,75.3934,0.0
16,112,1,1,A.R,0.1110050330637023,0.1639441831985178,132.054,2627208.06,4889558.44,-7.058211440819964,118.222,90.5089,0.0
17,113,1,1,A.R,0.14638503789901733,0.186145852282842,167.686,2377493.51,4395287.4,-3.954342366030585,111.896,101.729,0.0
18,114,1,1,A.R,0.14755742056295276,0.18462537694814304,114.854,1985633.76,4103684.42,-4.806355983266857,67.068,95.8966,0.0
19,115,1,1,A.R,0.1378746739588678,0.18276733697943387,154.875,1689918.73,3122751.3,-3.6828135784465004,127.729,74.639,0.024
20,116,1,1,A.R,0.14207141567021608,0.1876723745017747,132.082,2043373.27,4165808.9,-4.455286899225326,99.475,94.5346,0.0
21,117,1,1,A.R,0.12986775822937488,0.17299054578135412,167.19,2242959.48,4132927.19,-2.22394222155605,98.695,103.348,0.0
22,118,1,1,A.R,0.12711511366069317,0.1706725568303466,76.061,2171659.83,4170722.44,-5.416359696036382,94.261,98.353,0.0
23,119,1,1,A.R,0.12592281140387057,0.17519973903526861,104.089,1830300.16,3534152.47,-6.701945204003253,79.715,81.2112,0.0
24,12,1,1,A.R,0.10538572669029234,0.14706619667847953,97.112,1894003.58,3687278.16,-4.76524642140929,92.213,87.7468,0.0
25,120,1,1,A.R,0.11302394857630134,0.14978364095481733,194.247,1976061.49,3419631.63,-2.0271861162834646,93.859,83.3809,0.0
26,121,1,1,A.R,0.0907710432074964,0.13057718827041487,77.807,1297012.68,2553307.54,-3.964702253959769,72.096,61.2561,0.0
27,122,1,1,A.R,0.15651574376970528,0.2066945385515193,143.173,2262013.39,4523843.71,-3.7513563289957568,23.337,86.3602,0.0
28,123,1,1,A.R,0.12511683348566294,0.16702841674283148,162.364,1794012.81,3831652.89,-5.978044707553812,100.614,85.3476,0.0
29,124,1,1,A.R,0.09083334375172854,0.12470167187586426,101.169,1510222.71,2837897.77,-3.512976824280454,130.245,59.9885,0.0
30,125,1,1,A.R,0.11923170946538449,0.16195085473269225,104.604,1527182.63,3152636.22,-8.294881473025217,112.117,66.4642,0.0
31,126,1,1,A.R,0.12806039964780214,0.1717318664905677,70.851,1987350.37,3627462.34,-3.7927014844717832,59.274,73.8355,0.0
32,127,1,1,A.R,0.17017482961528005,0.21360908147430668,108.527,2127263.51,3954313.64,-6.047829902679171,136.442,60.725,0.0
33,128,1,1,A.R,0.11390478378161789,0.15289405855747562,45.48,840867.5,2016260.1,-5.885876658675547,42.339,46.1982,0.0
34,129,1,1,A.R,0.1349192819558084,0.1677646409779042,116.948,1220177.73,2393900.98,-6.327668229036773,95.714,52.9587,0.0
35,13,1,1,A.R,0.15578604601323603,0.20357635633995136,116.896,2312857.2,4668811.54,-3.5836060942977688,62.096,105.356,0.0
36,130,1,1,A.R,0.12654129695147276,0.16536898180906973,89.394,1435349.53,2782865.06,-9.145657576061609,92.189,71.2466,0.0
37,131,1,1,A.R,0.13370242663659157,0.17671287998496246,53.137,1154492.81,2450793.45,-5.348480835977457,57.787,53.8309,0.0
38,132,1,1,A.R,0.1305094977840781,0.17812974889203906,134.222,1909920.25,3635590.42,-2.8098834284089462,78.933,82.9391,0.0
39,133,1,1,A.R,0.1366443617269397,0.17862718086346985,137.688,1704699.78,3182152.26,-4.116811690989137,73.47,75.7279,0.0
40,134,1,1,A.R,0.10726964985951781,0.1489214915964256,116.685,1744577.57,3586050.23,-6.329946174940292,45.062,78.3163,0.0
41,135,1,1,A.R,0.11664628628641366,0.16574147647654014,94.08,2086302.13,4061969.47,-6.006090523756374,82.578,70.9411,0.0
42,136,1,1,A.R,0.12310227719135584,0.1674411385956779,205.681,1631201.49,3057868.39,-6.087515321621778,77.569,61.9771,0.132
43,137,1,1,A.R,0.1189451492857188,0.16758590797619274,143.241,2313056.36,4416314.94,-5.125967593808121,98.562,82.7665,0.0
44,138,1,1,A.R,0.13701864005997777,0.18796265336332224,83.588,1942773.25,3883575.11,-4.643815027260606,60.423,95.3968,0.0
45,139,1,1,A.R,0.14414383214898407,0.1943785827411587,100.181,2001945.12,4008384.83,-4.850756991241951,47.855,93.6644,0.0
46,14,1,1,A.R,0.1217727243900299,0.16256802886168162,96.989,2059337.18,3879185.94,-7.753404174205876,56.803,74.2529,0.0
47,140,1,1,A.R,0.11617203187197446,0.15509601593598724,148.795,2288291.77,3987963.62,-3.0740219670028446,115.017,72.0761,0.0
48,141,1,1,A.R,0.09243585891090333,0.12233959612211832,82.376,1500882.65,2921073.97,-3.1197713705428116,115.558,56.033,0.0
49,142,1,1,A.R,0.09706175848841667,0.14415087924420833,84.407,1777982.53,3639474.86,-4.684146653595815,90.198,86.1176,0.0
50,143,1,1,A.R,0.09856886260677128,0.14151443130338565,92.007,1402644.9,3042252.76,-6.708138808801227,66.347,62.1005,0.0
51,144,1,1,A.R,0.09636841244064272,0.13752420622032138,42.49,1313318.35,2689294.04,-3.8911169270526074,4.014,52.5524,0.0
52,145,1,1,A.R,0.1460236576385796,0.1952884954859565,107.712,1530171.86,3274854.31,-9.234435223369706,61.212,70.833,0.0
53,146,1,1,A.R,0.11305845687165858,0.15658589510249596,132.665,1906941.62,3620455.2,-3.429480426157978,117.716,65.3228,0.0
54,147,1,1,A.R,0.10617100901436059,0.14078217117384695,43.046,1871818.92,3480340.23,-3.815085365219915,78.877,68.9954,0.0
55,148,1,1,A.R,0.15034962799400092,0.19649648066366712,162.332,1962842.16,3660943.19,-3.885398717475364,33.072,95.7864,0.0
56,149,1,1,A.R,0.10413244115188719,0.15431955390927693,84.212,1728241.74,3405547.52,-3.7832001556643933,80.986,73.7225,0.0
57,15,1,1,A.R,0.13482869621366264,0.18942768144016467,393.131,4452923.77,9043138.82,-0.8597860835268449,91.101,189.318,0.0
58,150,1,1,A.R,0.09798763263970614,0.13402881631985308,194.059,554888.99,1418238.15,-3.394535013932669,66.033,58.0822,0.0
59,151,1,1,A.R,0.16930807158350944,0.21538570245842137,148.28,2401831.96,4390877.02,-6.299356400527512,143.155,66.6765,0.0
60,152,1,1,A.R,0.16305823083966972,0.2114774487531682,191.504,2621267.06,4201978.47,-5.932098185507301,173.94,77.866,0.0
61,153,1,1,A.R,0.10953119781333955,0.15518726557333645,75.199,1219796.32,2625761.03,-6.667192600673154,68.144,46.7711,0.0
62,154,1,1,A.R,0.1081460865214467,0.14690804326072335,95.674,1404351.13,2568171.19,-5.768880526660504,90.713,60.9372,0.0
63,155,1,1,A.R,0.11944232685491442,0.16551283009412388,152.539,1350492.62,3713371.53,-4.449752095853825,59.611,92.1208,0.0
64,156,1,1,A.R,0.09461926706135274,0.14561963353067636,107.452,1916081.63,3778158.51,-2.4328098584316895,56.984,83.41,0.0
65,157,1,1,A.R,0.1575798489153385,0.18867825779100256,102.443,1527286.98,3064415.05,-5.569400830211714,6.739,54.0174,0.0
66,158,1,1,A.R,0.15687133679166437,0.2076540017291655,36.446,2076781.74,3949219.96,-4.697724232489499,43.881,84.5006,0.0
67,159,1,1,A.R,0.15250721722841262,0.1877436086142063,115.756,2052284.06,3773325.44,-3.4775902659598157,107.806,76.627,0.073
