,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
55000,1,1,1,0.982,0.979,0.692,0.69,0.648,0.69,0.663,0.789556,0.93847,0.90001,0.87487,0.29157,0.27248,0.43901,0.6194016666666667,0.33435333333333334,0.9044500000000001,0.2618342377245426,777.725,4746734.88,8400891.72,-0.0009831220125800723,379.12,196.997
55001,10,1,1,0.928,0.949,0.0,0.212,0.019,0.212,7.344,9.10904,0.92797,0.8777,0.85443,0.09102,0.05334,0.27661,0.5135116666666666,0.14032333333333333,0.8866999999999999,0.11336414785473607,570.857,3938818.04,7397599.65,-4.602178989145857,349.845,176.309
55002,100,1,1,0.931,0.95,0.05,0.169,0.042,0.169,9.781,12.8752,0.93183,0.88828,0.86365,0.11545,0.10419,0.2806,0.5306666666666667,0.16674666666666668,0.8945866666666668,0.12867528416682034,320.778,2062412.67,4307382.18,-6.6956812430007915,205.894,86.3604
55003,1000,1,1,0.929,0.949,0.0,0.244,0.02,0.244,10.895,15.4273,0.9219,0.87483,0.85341,0.05914,0.03245,0.21045,0.4920300000000001,0.10067999999999999,0.8833800000000002,0.07277918410964049,146.214,1190468.66,3098469.31,-7.868623631423093,188.347,65.6258
55004,101,1,1,0.931,0.949,0.017,0.195,0.038,0.195,9.702,12.8273,0.93285,0.89141,0.86976,0.09027,0.07622,0.25051,0.5185033333333333,0.139,0.8980066666666667,0.10322915794677101,328.278,1852862.19,3557602.53,-5.661292878519633,214.582,66.5641
55005,102,1,1,0.929,0.95,0.017,0.198,0.043,0.198,8.084,11.6932,0.9221,0.87214,0.84749,0.07545,0.04925,0.22726,0.4989483333333333,0.11732,0.8805766666666667,0.08122923366354372,305.678,1649682.63,3524912.51,-0.09600426329588761,150.341,77.9903
55006,103,1,1,0.931,0.951,0.112,0.176,0.055,0.176,10.979,14.3905,0.93174,0.8867,0.8689,0.08277,0.08251,0.22589,0.513085,0.13039,0.8957799999999999,0.08437731992453336,228.617,1264089.43,2835121.7,-2.3588146713903555,177.127,63.7239
55007,104,1,1,0.929,0.95,0.0,0.259,0.03,0.259,7.767,11.3825,0.92656,0.88127,0.86235,0.0744,0.04866,0.24532,0.5064266666666667,0.12279333333333335,0.8900600000000001,0.09322347264969721,240.495,1873084.96,3826703.84,-7.562803912517655,221.154,87.2258
55008,105,1,1,0.957,0.969,0.443,0.541,0.42,0.541,1.764,2.38457,0.93447,0.89388,0.87331,0.2209,0.2058,0.37967,0.5846716666666667,0.26879000000000003,0.9005533333333333,0.2063845992088318,541.072,3363745.65,6091793.06,-1.0448676206664356,245.058,125.753
55009,106,1,1,0.929,0.949,0.0,0.275,0.015,0.275,10.501,14.8596,0.92663,0.87814,0.85537,0.05941,0.02826,0.21966,0.49457833333333334,0.10244333333333333,0.8867133333333334,0.07355246385859573,219.122,1975650.64,4498183.48,-6.492273899452649,154.65,80.2072
