,model,num_rna_chains,num_prot_chains,interface,CARP:PerIface,CARP:PerIface-G,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC,ics
0,1,1,1,A.C,0.2618342377245426,0.29809378552893795,777.725,4746734.88,8400891.72,-0.0009831220125800723,503.851,196.997,0.692
1,10,1,1,A.C,0.11336414785473607,0.1268437405940347,570.857,3938818.04,7397599.65,-4.602178989145857,366.396,176.309,0.0
2,100,1,1,A.C,0.12867528416682034,0.1477109754167435,320.778,2062412.67,4307382.18,-6.6956812430007915,213.781,86.3604,0.05
3,1000,1,1,A.C,0.07277918410964049,0.08672959205482024,146.214,1190468.66,3098469.31,-7.868623631423093,171.336,65.6258,0.0
4,101,1,1,A.C,0.10322915794677101,0.12111457897338551,328.278,1852862.19,3557602.53,-5.661292878519633,210.268,66.5641,0.017
5,102,1,1,A.C,0.08122923366354372,0.09927461683177186,305.678,1649682.63,3524912.51,-0.09600426329588761,136.908,77.9903,0.017
6,103,1,1,A.C,0.08437731992453336,0.10738365996226668,228.617,1264089.43,2835121.7,-2.3588146713903555,156.395,63.7239,0.112
7,104,1,1,A.C,0.09322347264969721,0.10800840299151529,240.495,1873084.96,3826703.84,-7.562803912517655,188.256,87.2258,0.0
8,105,1,1,A.C,0.2063845992088318,0.2375872996044159,541.072,3363745.65,6091793.06,-1.0448676206664356,246.316,125.753,0.443
9,106,1,1,A.C,0.07355246385859573,0.08799789859596453,219.122,1975650.64,4498183.48,-6.492273899452649,178.982,80.2072,0.0
10,107,1,1,A.C,0.07934831559032318,0.09514749112849494,376.693,1862018.07,3407325.28,-5.887701121741974,279.41,64.3817,0.0
11,108,1,1,A.C,0.1047893477138132,0.11833300719023992,309.19,1329064.62,3113804.27,-3.1247194652853367,185.39,68.6607,0.033
12,109,1,1,A.C,0.0934765657526441,0.11063994954298872,397.285,2331305.39,4079660.62,-2.436663218353408,246.642,92.5563,0.0
13,11,1,1,A.C,0.21764156296849252,0.26310578148424624,739.535,5065343.42,8876778.47,-0.002539211640791708,415.747,203.89,0.742
14,110,1,1,A.C,0.11994799601379783,0.1336689980068989,191.599,2102218.8,3990796.02,-5.941338842242214,172.07,83.9343,0.101
