,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
46000,1,1,1,0.642,0.862,0.417,0.432,0.32,0.432,5.179,5.21475,0.86763,0.72661,0.67785,0.1384,0.09692,0.32491,0.4720533333333333,0.18674333333333334,0.7573633333333333,0.13056502908002585,401.107,3636753.13,7122561.6,-2.040310901572655,246.934,137.116
46001,10,1,1,0.597,0.837,0.0,0.209,0.0,0.209,20.79,22.029,0.86278,0.71378,0.67062,0.07756,0.04754,0.216,0.43138000000000004,0.11370000000000001,0.7490600000000001,0.07962651597335935,265.7,2391918.94,3888830.6,-2.2933986378122357,226.876,71.7999
46002,100,1,1,0.595,0.837,0.0,0.032,0.0,0.032,29.79,32.7146,0.85796,0.70579,0.66753,0.06666,0.04522,0.15743,0.416765,0.08977,0.74376,0.04470634642639197,243.6,1337270.18,2652052.57,-5.741534245145062,53.53,49.8974
46003,1000,1,1,0.595,0.837,0.0,0.279,0.009,0.279,12.916,13.9058,0.85949,0.70932,0.66356,0.09481,0.06219,0.25841,0.44129666666666667,0.13847,0.7441233333333334,0.09826668186578899,318.132,2126870.85,4340597.84,-4.788158270207468,153.172,85.6412
46004,101,1,1,0.595,0.837,0.0,0.224,0.003,0.224,20.186,22.6766,0.86251,0.70304,0.65691,0.08079,0.04299,0.25244,0.4331133333333333,0.12540666666666667,0.7408199999999999,0.08998053133836949,331.639,3061030.5,5273308.01,-6.6116872617247,204.969,113.31
46005,102,1,1,0.599,0.838,0.034,0.105,0.014,0.105,19.828,21.6261,0.86061,0.71174,0.67072,0.08331,0.05795,0.2315,0.4359716666666667,0.12425333333333333,0.7476900000000001,0.07432030881755054,230.488,1204274.05,2864723.57,-6.583085145312557,182.608,61.0593
46006,103,1,1,0.595,0.837,0.0,0.188,0.001,0.188,21.484,19.967,0.85144,0.69346,0.64755,0.09118,0.06163,0.21032,0.42593000000000003,0.12104333333333334,0.7308166666666667,0.06800775164738297,391.301,2943474.92,4853572.69,-6.0226720244406104,195.617,97.9037
46007,104,1,1,0.6,0.838,0.0,0.368,0.015,0.368,21.466,21.8382,0.85674,0.70606,0.65515,0.09859,0.06903,0.26834,0.44231833333333337,0.14532,0.7393166666666667,0.1086205939296633,199.133,2855703.75,5328777.33,-7.532637862840564,129.083,78.9201
46008,105,1,1,0.595,0.837,0.0,0.126,0.0,0.126,26.586,26.3859,0.85793,0.69319,0.64937,0.07537,0.04514,0.17926,0.4167100000000001,0.09992333333333332,0.7334966666666668,0.0559483070159331,297.825,2589027.72,4538276.21,-8.361364065435037,166.503,90.7035
46009,106,1,1,0.596,0.837,0.0,0.226,0.005,0.226,20.891,19.3768,0.85038,0.69218,0.64367,0.09618,0.07399,0.23525,0.43194166666666667,0.13513999999999998,0.7287433333333334,0.08544543692842126,301.892,1888571.52,3539655.26,-5.8912679857731005,185.063,68.3502
46010,107,1,1,0.595,0.838,0.034,0.124,0.022,0.124,21.488,22.9434,0.8641,0.71032,0.66462,0.10215,0.06618,0.2608,0.444695,0.14304333333333333,0.7463466666666667,0.08867090579587966,148.006,1710386.14,3376433.89,-5.270358120332163,125.523,41.3202
46011,108,1,1,0.595,0.837,0.0,0.14,0.0,0.14,30.535,32.5296,0.8654,0.70738,0.66865,0.07741,0.04523,0.16631,0.42173,0.09631666666666668,0.7471433333333333,0.04972819040995091,399.07,2141912.77,3527887.66,-3.515678910106002,202.872,108.571
46012,109,1,1,0.595,0.837,0.0,0.052,0.0,0.052,27.658,27.6272,0.84974,0.6903,0.64602,0.06612,0.0509,0.13908,0.40702666666666676,0.08536666666666666,0.7286866666666668,0.03923674712423235,282.284,1720808.42,2554374.47,-2.961559096897463,187.601,71.184
