,model,num_rna_chains,num_prot_chains,oligo_gdtts,bb_lddt,ics,ips,ilddt,ics_rp,rmsd,irmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
49000,1,1,1,0.99,0.981,0.91,0.935,0.814,0.935,0.495,0.5164,0.90689,0.82607,0.79257,0.21245,0.15998,0.37334,0.5452166666666667,0.24859,0.8418433333333333,0.18583310302346942,1126.4,7820832.98,13991031.92,-6.26444951419833e-06,879.814,280.566
49001,10,1,1,0.921,0.966,0.736,0.741,0.641,0.741,2.147,1.66765,0.90263,0.81393,0.78019,0.18339,0.13665,0.35244,0.528205,0.22416,0.83225,0.16789243984967472,886.152,6529591.14,11837854.03,-0.00011906588833294606,490.642,227.76
49002,100,1,1,0.853,0.919,0.0,0.073,0.011,0.073,16.797,19.1085,0.91193,0.81508,0.79326,0.08151,0.07074,0.22938,0.48365,0.12721000000000002,0.84009,0.09462884243112057,164.515,1313409.41,2649319.01,-3.55135510502157,98.772,68.3299
49003,1000,1,1,0.854,0.918,0.0,0.192,0.007,0.192,13.393,15.4782,0.91263,0.81998,0.79054,0.1146,0.0861,0.31981,0.5072766666666667,0.17350333333333334,0.8410500000000001,0.1323982682544738,325.372,2922252.53,6073458.5,-4.336508683655212,123.036,114.125
49004,101,1,1,0.854,0.918,0.0,0.121,0.005,0.121,16.641,17.9232,0.91394,0.82288,0.7995,0.10596,0.08021,0.29311,0.5025999999999999,0.15975999999999999,0.84544,0.1285268055740744,203.739,2261973.96,5086196.85,-4.349856527600817,179.746,108.699
49005,102,1,1,0.854,0.919,0.0,0.13,0.011,0.13,15.628,17.1696,0.91042,0.81805,0.79524,0.07826,0.05408,0.22551,0.48026,0.11928333333333334,0.8412366666666667,0.0788079896243289,181.593,1233194.71,2991792.72,-4.702789514061703,127.953,60.8871
49006,103,1,1,0.854,0.918,0.0,0.19,0.003,0.19,14.148,15.3366,0.90329,0.82698,0.79848,0.12933,0.09154,0.27888,0.50475,0.16658333333333333,0.8429166666666666,0.11989202424883841,342.722,3614939.94,7415840.83,-6.134693168622073,109.776,150.732
49007,104,1,1,0.855,0.918,0.0,0.122,0.007,0.122,15.679,17.2693,0.91239,0.81602,0.78655,0.13462,0.12013,0.32429,0.5156666666666666,0.19301333333333334,0.83832,0.1501144355162978,267.034,2586906.36,5035994.32,-1.5631103011917118,198.438,106.912
49008,105,1,1,0.853,0.918,0.0,0.172,0.0,0.172,14.093,15.8507,0.90331,0.80465,0.77446,0.09211,0.06514,0.24817,0.48130666666666666,0.13514,0.8274733333333333,0.08716865782625974,263.449,2259188.86,4760244.82,-5.400142709984811,136.555,86.9469
49009,106,1,1,0.853,0.918,0.0,0.137,0.004,0.137,15.28,17.1623,0.90588,0.81252,0.78312,0.10635,0.07964,0.29105,0.4964266666666667,0.1590133333333333,0.83384,0.1191685104742646,341.223,2723738.42,5262104.26,-3.02120395583118,186.58,126.995
49010,107,1,1,0.853,0.918,0.0,0.118,0.007,0.118,15.405,18.4981,0.91315,0.8181,0.79713,0.08257,0.06265,0.24309,0.486115,0.12943666666666667,0.8427933333333334,0.08938067569397391,264.854,1631068.74,3518147.53,-2.9879952177183093,128.993,91.9268
49011,108,1,1,0.856,0.918,0.0,0.19,0.006,0.19,14.098,15.8099,0.90202,0.8068,0.77694,0.11484,0.08919,0.29482,0.497435,0.16628333333333334,0.8285866666666667,0.11549247070215643,367.381,2648819.0,4941458.17,-5.062056663686456,284.817,92.4384
49012,109,1,1,0.855,0.918,0.0,0.178,0.001,0.178,15.106,16.8114,0.90931,0.82133,0.79411,0.1366,0.11036,0.29783,0.51159,0.18159666666666666,0.8415833333333333,0.12890374739654362,294.351,2664403.88,5861998.22,-4.468475073232032,125.446,100.604
49013,11,1,1,0.856,0.918,0.0,0.21,0.005,0.21,13.817,15.5219,0.9073,0.81465,0.78353,0.11098,0.0869,0.30507,0.501405,0.16765,0.83516,0.12608571499586108,331.37,2920627.75,5691440.26,-2.207057038163732,222.175,118.186
